"case_num","case_id","system","library","loss","policy","n","mse_mean","mse_sd","mse_se","distance_mean","distance_sd","distance_se","min_eig_mean","min_eig_sd","min_eig_se"
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",72,0.0151381024602487,0.00683223820572574,0.0039445945672434,0.241068606364089,0.0604773122749875,0.0349165925218291,0.00511731009349332,0.00713138813417319,0.0041173088589606
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",73,0.0154961127030881,0.00709761813249146,0.00409781173939911,0.244349172548834,0.0584542473271046,0.0337485754295808,0.00354240020366404,0.00440356610066715,0.00254240007361449
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",74,0.0153750601734573,0.0073039049030453,0.00421691146190863,0.242971252546543,0.0608096759956041,0.035108482805396,0.00302408085374488,0.00350580749524206,0.00202407890110501
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",75,0.0153368320134863,0.00883543319511912,0.00510113973360898,0.240820353106832,0.0709177578267169,0.0409443865715797,0.00146859731373694,0.000811634355682768,0.000468597313736994
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",76,0.0131602781943904,0.00681057053175122,0.0039320847298415,0.224384412496446,0.0586440304658474,0.0338581467758216,0.00441936658256604,0.00592251325493306,0.00341936462201473
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",77,0.0143507393663466,0.00835603906539527,0.00482436140376499,0.233089026806061,0.067887366806971,0.0391947895005796,0.00514417073228333,0.00717790261233685,0.0041441640054496
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",78,0.0129513927052935,0.0075604448459757,0.00436502486701739,0.221144250053635,0.0659635295756976,0.0380840615572268,0.0045946049137319,0.0062260336655308,0.00359460221277788
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",79,0.0135541772537521,0.00882329425970614,0.00509413131598062,0.224607880539996,0.075179874444622,0.0434051207482448,0.00319782523408515,0.0038067393772448,0.00219782200418703
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",80,0.0135653594679458,0.00892014218517358,0.0051500464918197,0.224331802609592,0.0768441299942414,0.0443659791378179,0.00271864883023679,0.00297678574412985,0.00171864805069321
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",81,0.0148510711328828,0.0101671263775381,0.00586999315095656,0.234386650418637,0.0818582552684464,0.0472608857146306,0.00333094872659789,0.00403731793250158,0.00233094659513389
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",82,0.0151942603839244,0.00978686036403625,0.0056504464656976,0.238364788456526,0.0770642831645066,0.0444930846299334,0.00288543803347567,0.00326567446850253,0.00188543803347562
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",83,0.0152099399521854,0.00971175772528604,0.00560708593699832,0.238758611017365,0.0758361932766956,0.0437840466026167,0.00247160119495802,0.00254888049971113,0.00147159684264041
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",84,0.0144090511597181,0.00719272483625117,0.00415272162041652,0.235377661185079,0.0578821378395075,0.0334182678629107,0.00497402542015624,0.00688321317750507,0.00397402498092213
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",85,0.0130516523956156,0.00572549433469069,0.00330561569537735,0.225103022839796,0.0479881030701631,0.0277059442254582,0.00698554053476724,0.0103672601501662,0.00598554043845733
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",86,0.0132256643842437,0.00557636999413196,0.00321951871721304,0.226859144137441,0.0464368322272725,0.0268103175867293,0.00658929740128172,0.00968094673423442,0.00558929720302067
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",87,0.0120233693190327,0.004633095581399,0.00267491898110198,0.216734239900469,0.0409831647917191,0.0236616412247418,0.00610620576028194,0.00884420579295436,0.00510620459533065
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",88,0.0109112933345554,0.00398367791260301,0.00229997751520612,0.206645160423345,0.0376088622235157,0.0217134867286623,0.00549777315178063,0.0077903706398647,0.00449777258601284
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",89,0.0125995954300475,0.00481614502083234,0.00278060262423383,0.221761983982875,0.0427785725597947,0.0246982203829454,0.00622136210787975,0.00904366439826042,0.00522136207479629
