"alpha","alpha_name","case_num","case_id","system","library","loss","policy","n_step","n_eff","mean_scaled_proxy","se_scaled_proxy","mean_scaled_mse","mean_scaled_fro_sq","mean_scaled_bures_sq"
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",13,1300,3.11812261168581,0,0.802788932188128,3.21115572875251,5.12626836973793
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",14,1400,3.15006834390841,0.025423480041634,0.835060286426298,3.34024114570519,5.2898131746933
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",15,1500,3.14042744845545,0.0118852200624511,0.846588837610292,3.38635535044117,5.57411392813534
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",16,1600,3.12855585514293,0,0.736751647391245,2.94700658956498,5.31353962980727
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",17,1700,3.12170964370841,0,1.00768738391769,4.03074953567075,6.02196554935385
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",18,1800,3.14096992693017,0.0235944935984318,0.832367119361173,3.32946847744469,4.43720387187108
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",19,1900,3.13144350543963,0.0105234051767591,0.936990635104908,3.74796254041963,4.97180050495579
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",20,2000,3.12865219497204,0.000109966579043608,1.12098900439234,4.48395601756936,6.25590764017447
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",21,2100,3.12073160388759,0,1.08060272617217,4.32241090468866,6.34993929309909
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",22,2200,3.1165600929616,0,1.25111587696789,5.00446350787155,6.85595059749098
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",23,2300,3.1282106382738,0.0100916603879657,1.13551317291057,4.54205269164227,5.78656231683117
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",24,2400,3.12445594501914,0.00409991012378708,1.26010153604444,5.04040614417775,6.24346762487402
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",25,2500,3.12002346021833,0,1.15573957069167,4.62295828276667,5.29858377095849
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",26,2600,3.11812261168581,0,0.969594173039137,3.87837669215655,4.19766599913705
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",27,2700,3.12640991014308,0.0110867784273943,1.15277759775348,4.61111039101393,6.11473598247655
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",28,2800,3.12274683776892,0.00368070458698733,1.26710889474726,5.06843557898903,6.39998944393616
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",29,2900,3.12153604016468,0.000923172789018878,1.15852031494464,4.63408125977855,5.77707458017806
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",30,3000,3.11649385666057,0,1.02748475039556,4.10993900158225,5.07956206282045
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",31,3100,3.12558273494282,0.00820632827179657,1.12158281507602,4.48633126030409,5.44933811325096
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",32,3200,3.12196434424865,0.00659151089428023,1.09119094804058,4.3647637921623,5.00694022699015
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",33,3300,3.12055399484692,0,1.08897246552723,4.35588986210894,5.05135406966297
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",34,3400,3.11952761087234,0,1.05547732317299,4.22190929269197,4.58792939866253
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",35,3500,3.12518350545281,0.010058928649826,0.895144407788786,3.58057763115514,3.33419588446277
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",36,3600,3.12164756189667,0.0042721285649332,1.05606423637357,4.22425694549429,3.74546985708619
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",37,3700,3.12358829286573,0,1.07815628568673,4.31262514274692,3.87246428763579
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",38,3800,3.11753340760213,0,0.863225378101497,3.45290151240599,3.544947157637
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",39,3900,3.12495785959906,0.00683524791324785,0.808838436129185,3.23535374451674,3.08330360047707
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",40,4000,3.12164849766675,0.00690735747617821,0.843703804829169,3.37481521931667,3.42119076805414
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",1,100,Inf,NA,10.1574992264554,40.6299969058216,30.5702021958018
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",2,200,Inf,NA,17.5482389156033,70.1929556624133,48.1691948436867
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",3,300,3.285,0,0.530912900187031,2.12365160074813,6.36714856350578
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",4,400,3.38,0,0.717829462799347,2.87131785119739,8.50003055818234
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",5,500,3.128542228393,0,0.577520043948768,2.31008017579507,10.011096906273
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",6,600,3.285,0,0.574981986584762,2.29992794633905,4.69955902055532
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",7,700,3.24916666666667,0,1.18171062227963,4.72684248911853,7.55572515095106
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",8,800,3.12855585514293,0,1.03290971299237,4.13163885196948,4.01273648979084
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",9,900,3.1446253370358,0,0.849684376543394,3.39873750617357,3.57057121354757
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",10,1000,3.128542228393,0,1.58279997472243,6.33119989888974,6.91240042744057
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",11,1100,3.15463215041077,0,1.69406790800401,6.77627163201604,5.62429293341209
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",12,1200,3.1414168913572,0,1.23415004793834,4.93660019175337,4.72697764466967
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",13,1300,3.11812261168581,0,0.953197137201923,3.81278854880769,2.87197806836281
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",14,1400,3.12464486386677,0,1.13347460705493,4.5338984282197,3.31205185206926
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",15,1500,3.128542228393,0,1.24707912391092,4.98831649564368,3.20887553839438
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",16,1600,3.12855585514293,0,1.36674651852228,5.46698607408914,3.95323509077308
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",17,1700,3.12170964370841,0,1.39335835410272,5.57343341641089,4.07218431142198
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",18,1800,3.11737543333174,0,1.72519350704445,6.9007740281778,4.65851483473319
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",19,1900,3.12092010026287,0,1.76810042064215,7.0724016825686,4.79592527300923
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",20,2000,3.12876216155108,0,1.66380674363194,6.65522697452775,3.85120734746724
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",21,2100,3.12073160388759,0,1.14421321503373,4.57685286013493,2.62145757925757
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",22,2200,3.1165600929616,0,1.08535996437138,4.34143985748551,2.5296515495282
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",23,2300,3.11811897788583,0,0.903139046821533,3.61255618728613,2.05429059825478
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",24,2400,3.12855585514293,0,0.970290804440954,3.88116321776382,3.07232626001674
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",25,2500,3.12002346021833,0,1.31507916745291,5.26031666981165,3.8868094807526
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",26,2600,3.11812261168581,0,1.42891816290806,5.71567265163223,4.91618873170727
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",27,2700,3.11532313171569,0,1.28056766402272,5.12227065609089,4.66171431153598
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",28,2800,3.11906613318194,0,1.45380003491005,5.81520013964018,5.01128772986235
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",29,2900,3.1224592129537,0,1.52422507452903,6.09690029811612,6.71457105418759
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",30,3000,3.11649385666057,0,1.68820422472781,6.75281689891125,7.27363662182434
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",31,3100,3.11737640667102,0,1.55233252381354,6.20933009525415,6.58407947658141
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",32,3200,3.11537283335437,0,1.20851911657947,4.83407646631789,5.93076788755624
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",33,3300,3.12055399484692,0,1.19217378400206,4.76869513600822,4.61338292128409
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",34,3400,3.11952761087234,0,1.52326578467356,6.09306313869423,6.31482164682156
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",35,3500,3.11512457680298,0,1.4484249941965,5.79369997678601,6.30571644020589
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",36,3600,3.11737543333174,0,1.54788274861194,6.19153099444776,6.79254800068496
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",37,3700,3.1158739572735,0,1.32803686297396,5.31214745189585,6.35961951675198
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",38,3800,3.11753340760213,0,1.31566241610617,5.26264966442468,3.61033430437883
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",39,3900,3.11812261168581,0,1.1311828502828,4.52473140113119,2.92134869089175
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","oracle_GI1",40,4000,3.11474114019058,0,0.968968529232664,3.87587411693066,2.59109670464674
